#threads line(ms) circle(ms)
1 0.959344 19.7307
2 0.573258 8.67649
3 0.672634 11.9843
4 0.581623 10.9963
5 0.567677 13.5026
6 0.553871 18.5761
7 0.524306 20.1583
8 0.533893 25.5227
9 0.485683 25.6391
10 0.509678 28.8349
11 0.546558 27.1955
12 0.515028 38.3996
13 0.624444 32.2189
14 0.569911 35.469
15 0.577736 46.625
16 0.56911 49.0337
