#threads line(ms) circle(ms)
1 33.6925 1836.97
2 24.4744 1122.11
3 21.613 923.834
4 16.7498 858.562
5 16.8216 683.194
6 13.7676 728.656
7 15.1239 584.063
8 12.9323 652.25
9 11.9001 578.482
10 11.6154 533.023
11 10.7515 541.776
12 9.62758 521.063
13 8.92243 533.06
14 8.56256 515.107
15 8.32219 531.45
16 8.31563 534.813
