#threads line(ms) circle(ms)
1 23.293 618.452
2 16.4903 393.667
3 10.1121 148.43
4 8.24892 199.917
5 6.92966 195.451
6 8.30145 256.107
7 7.1436 230.37
8 6.77513 172.487
9 6.22029 186.823
10 5.80107 184.799
11 5.43067 201.951
12 4.96786 171.79
13 4.86646 175.703
14 4.70139 173.871
15 4.69729 195.525
16 4.42443 165.65
