#threads line(ms) circle(ms)
1 21.9546 745.269
2 10.8469 153.469
3 12.1078 298.338
4 9.63676 260.229
5 8.88465 262.425
6 7.28007 235.784
7 6.72809 219.474
8 6.01567 200.59
9 5.35623 206.13
10 4.85575 179.035
11 4.60109 204.455
12 4.38495 183.83
13 4.19831 182.363
14 3.76614 177.21
15 4.2279 170.236
16 4.48194 181.14
