#threads line(ms) circle(ms)
1 288.062 292.683
2 173.18 153.684
3 110.803 110.29
4 92.9288 95.7747
5 83.3803 83.8515
6 78.3138 72.6151
7 73.2361 70.8764
8 73.9145 70.648
9 63.9352 76.5066
10 73.215 63.7489
11 87.6556 65.7873
12 66.0796 68.2536
13 73.4218 83.0539
14 79.9052 80.7796
15 85.4098 81.6512
16 87.4317 84.893
