#threads line(ms) circle(ms)
1 0.966318 12.2478
2 0.905413 11.6331
3 0.720836 12.0812
4 0.421312 12.2933
5 0.548872 14.1532
6 0.533594 15.1452
7 0.509318 17.0216
8 0.498137 21.9967
9 0.501313 25.6266
10 0.467589 24.0135
11 0.492136 24.9182
12 0.500291 33.1867
13 0.662416 37.2779
14 0.522021 46.9543
15 0.532251 48.4201
16 0.589659 42.9457
