#threads line(ms) circle(ms)
1 17.0433 17.1425
2 8.73339 9.46787
3 8.07544 6.73756
4 5.42837 5.02852
5 4.58845 5.12565
6 3.96821 4.5043
7 3.70227 3.58009
8 3.43206 3.29345
9 3.03693 3.15515
10 3.15121 3.53475
11 2.92731 2.88
12 2.97553 2.63907
13 2.67285 2.56346
14 2.87496 3.07702
15 2.87623 2.90381
16 3.23962 3.00767
