#threads line(ms) circle(ms)
1 132.244 133.525
2 69.5558 70.1334
3 51.6855 48.9376
4 38.7771 38.3871
5 33.2425 50.2175
6 29.0814 28.5204
7 26.1879 27.2126
8 25.8653 25.3064
9 23.9817 23.731
10 29.3908 23.3791
11 56.7493 22.661
12 22.3814 22.3832
13 23.0798 21.5069
14 27.1083 25.8287
15 29.157 26.1377
16 27.1639 25.8592
