#threads line(ms) circle(ms)
1 36.6268 1739.71
2 33.4919 1143.01
3 24.5058 881.54
4 18.9363 747.023
5 16.7007 792.76
6 14.8421 633.78
7 12.9538 544.673
8 11.4367 555.01
9 10.1748 526.958
10 11.5534 489.164
11 9.72519 465.946
12 8.33488 546.925
13 7.99698 481.131
14 7.47921 561.746
15 8.8504 526.269
16 8.70791 568.965
