#threads line(ms) circle(ms)
1 0.926983 18.1535
2 0.546678 12.2245
3 0.69674 11.8785
4 0.708042 11.4194
5 0.672143 13.9766
6 0.603915 17.2253
7 0.594538 17.8009
8 0.615257 23.4168
9 0.466016 25.8854
10 0.553741 27.2084
11 0.565613 31.1152
12 0.492636 32.9376
13 0.52663 40.0707
14 0.545836 32.5441
15 0.541427 35.8968
16 0.567476 43.4173
