#threads line(ms) circle(ms)
1 17.5828 300.677
2 17.2312 194.665
3 13.8986 104.404
4 10.2032 247.777
5 8.51062 213.842
6 7.50415 218.01
7 6.64264 197.874
8 6.01776 198.831
9 5.49047 187.664
10 5.07134 193.007
11 4.64947 166.055
12 4.50515 169.557
13 4.36002 171.572
14 4.28627 171.204
15 4.65001 169.035
16 4.05915 202.595
