#threads line(ms) circle(ms)
1 5.90591 5.98364
2 2.98231 3.24875
3 2.15694 2.24375
4 1.92415 1.86973
5 1.62913 1.56352
6 1.40953 1.59042
7 1.25902 1.33038
8 1.26823 1.11703
9 1.12993 1.21591
10 1.17083 1.08266
11 1.07987 1.20541
12 0.990744 1.05817
13 1.05778 1.07075
14 1.19725 1.15019
15 1.02976 1.1532
16 1.05412 1.20703
