#threads line(ms) circle(ms)
1 656.091 702.179
2 417.874 452.891
3 298.958 342.78
4 293.444 271.885
5 237.664 256.317
6 502.832 238.705
7 256.343 239.935
8 260.045 230.056
9 220.904 232.828
10 231.589 230.356
11 243.413 239.196
12 239.341 253.169
13 245.623 241.535
14 266.856 269.444
15 265.349 278.938
16 325.46 289.405
