#threads line(ms) circle(ms)
1 2.63932 41.4669
2 2.45758 59.508
3 1.95631 37.5957
4 1.64589 34.0002
5 1.40237 33.2101
6 1.2883 32.6568
7 1.14223 32.0841
8 1.08174 33.6968
9 0.985032 29.8619
10 0.924208 34.1076
11 0.931202 33.5132
12 0.883131 35.3502
13 0.875347 40.415
14 0.937474 40.3362
15 1.00642 45.1542
16 0.979904 51.2211
