#threads line(ms) circle(ms)
1 77.9248 4430.12
2 69.1657 2964.8
3 57.8248 2384.65
4 45.3946 2140.24
5 37.1357 1938.75
6 33.0626 1893.92
7 27.6321 1772.98
8 27.9121 1756.26
9 26.0272 1735.8
10 22.4866 1672.59
11 21.6777 1674.49
12 21.1918 1588.57
13 19.7278 1694.39
14 18.4212 1590.17
15 16.8105 1621.42
16 16.23 1632.48
