#threads line(ms) circle(ms)
1 81.4737 4556.47
2 69.224 2864.89
3 70.4857 2578.68
4 47.3451 2176.2
5 34.2457 1950.57
6 28.6883 1798.77
7 24.9792 1777.25
8 23.2656 1606.06
9 20.8941 1624.69
10 19.6325 1643.05
11 17.7997 1665.08
12 17.7431 1614.57
13 16.1396 1641.65
14 17.2095 1614.72
15 17.9674 1594.22
16 16.9944 1664.66
