#threads line(ms) circle(ms)
1 147.262 9633.28
2 79.6712 6848.98
3 85.741 5335.77
4 68.6393 5208.88
5 33.3997 4888.57
6 47.6489 4658.16
7 44.168 4489.9
8 39.5191 4352.99
9 34.2278 4113.37
10 31.7624 4313.7
11 30.072 4100.18
12 28.7503 3981.2
13 31.4758 4055.78
14 27.6576 4084.65
15 29.2129 4139.66
16 27.7215 3948.49
