#threads line(ms) circle(ms)
1 37.5958 1750.64
2 19.5205 1118.16
3 14.4638 902.86
4 22.3502 762.676
5 16.4295 714.208
6 14.3852 619.67
7 12.8214 593.727
8 11.5951 579.438
9 11.2544 544.145
10 9.54674 551.722
11 9.15157 542.412
12 8.42838 511.808
13 8.14746 502.055
14 7.46592 520.272
15 8.07795 531.773
16 8.88431 504.579
