#threads line(ms) circle(ms)
1 2.39015 71.5113
2 2.73123 48.2635
3 1.65062 39.183
4 1.56658 35.189
5 1.30544 33.2123
6 1.2516 33.3801
7 1.14912 33.8601
8 1.06352 34.2569
9 1.10756 37.1668
10 0.956227 38.7348
11 0.918376 41.8175
12 0.896866 42.6582
13 0.886727 44.919
14 1.0211 52.7035
15 1.08102 46.5736
16 1.11003 51.2001
