#threads line(ms) circle(ms)
1 157.793 9961.82
2 118.865 6866.88
3 87.9417 5716.93
4 70.3172 4877.1
5 56.9768 4988.37
6 48.0209 4631.59
7 42.7239 4441.61
8 38.2906 4356.47
9 34.9615 4313.55
10 31.5957 4128.85
11 29.93 4044.6
12 27.5984 3810.18
13 25.8998 4282.46
14 29.5297 4221.27
15 29.0299 4227.89
16 28.8265 4139.33
