#threads line(ms) circle(ms)
1 81.7406 4683.72
2 43.6148 2942.42
3 51.4427 2454.03
4 39.8232 2164.87
5 33.3823 1993.15
6 28.9976 1879.24
7 26.0962 1761.7
8 26.6095 1683.02
9 21.1596 1733.79
10 22.6673 1656.17
11 17.9809 1624.82
12 20.6491 1629.61
13 16.112 1589.29
14 17.659 1658.55
15 16.9671 1672.0
16 16.8144 1618.06
